code,year,community
CSK,1960,pact:ALB
DDR,1960,pact:ALB
FIN,1960,pact:ALB
HUN,1960,pact:ALB
MNG,1960,pact:ALB
POL,1960,pact:ALB
ROU,1960,pact:ALB
RUS,1960,pact:ALB
AUS,1960,pact:AUS
BEL,1960,pact:AUS
CAF,1960,pact:AUS
CAN,1960,pact:AUS
COG,1960,pact:AUS
CYP,1960,pact:AUS
DNK,1960,pact:AUS
FRA,1960,pact:AUS
GAB,1960,pact:AUS
GBR,1960,pact:AUS
GER,1960,pact:AUS
GRC,1960,pact:AUS
ISL,1960,pact:AUS
ITA,1960,pact:AUS
JPN,1960,pact:AUS
KOR,1960,pact:AUS
LUX,1960,pact:AUS
MYS,1960,pact:AUS
NLD,1960,pact:AUS
NOR,1960,pact:AUS
NZL,1960,pact:AUS
PAK,1960,pact:AUS
PHL,1960,pact:AUS
PRT,1960,pact:AUS
TCD,1960,pact:AUS
TUR,1960,pact:AUS
TWN,1960,pact:AUS
USA,1960,pact:AUS
YUG,1960,pact:AUS
ARG,1960,pact:ARG
BOL,1960,pact:ARG
BRA,1960,pact:ARG
CHL,1960,pact:ARG
COL,1960,pact:ARG
CRI,1960,pact:ARG
CUB,1960,pact:ARG
DOM,1960,pact:ARG
ECU,1960,pact:ARG
GTM,1960,pact:ARG
HND,1960,pact:ARG
HTI,1960,pact:ARG
MEX,1960,pact:ARG
NIC,1960,pact:ARG
PAN,1960,pact:ARG
PER,1960,pact:ARG
PRY,1960,pact:ARG
SLV,1960,pact:ARG
URY,1960,pact:ARG
VEN,1960,pact:ARG
ARE,1960,pact:ARE
EGY,1960,pact:ARE
IRQ,1960,pact:ARE
JOR,1960,pact:ARE
LBN,1960,pact:ARE
LBY,1960,pact:ARE
SAU,1960,pact:ARE
SYR,1960,pact:ARE
TUN,1960,pact:ARE
YEM,1960,pact:ARE
ALB,1961,pact:ALB
BGR,1961,pact:ALB
CHN,1961,pact:ALB
CSK,1961,pact:ALB
DDR,1961,pact:ALB
FIN,1961,pact:ALB
HUN,1961,pact:ALB
MNG,1961,pact:ALB
POL,1961,pact:ALB
PRK,1961,pact:ALB
ROU,1961,pact:ALB
RUS,1961,pact:ALB
ARG,1961,pact:ARG
BOL,1961,pact:ARG
BRA,1961,pact:ARG
CHL,1961,pact:ARG
COL,1961,pact:ARG
CRI,1961,pact:ARG
CUB,1961,pact:ARG
DOM,1961,pact:ARG
ECU,1961,pact:ARG
GTM,1961,pact:ARG
HND,1961,pact:ARG
HTI,1961,pact:ARG
MEX,1961,pact:ARG
NIC,1961,pact:ARG
PAN,1961,pact:ARG
PER,1961,pact:ARG
PRY,1961,pact:ARG
SLV,1961,pact:ARG
URY,1961,pact:ARG
VEN,1961,pact:ARG
ARE,1961,pact:ARE
EGY,1961,pact:ARE
IRQ,1961,pact:ARE
JOR,1961,pact:ARE
KWT,1961,pact:ARE
LBN,1961,pact:ARE
LBY,1961,pact:ARE
MAR,1961,pact:ARE
SAU,1961,pact:ARE
SYR,1961,pact:ARE
TUN,1961,pact:ARE
YEM,1961,pact:ARE
AUS,1961,pact:AUS
BEL,1961,pact:AUS
CAN,1961,pact:AUS
CYP,1961,pact:AUS
DNK,1961,pact:AUS
FRA,1961,pact:AUS
GBR,1961,pact:AUS
GER,1961,pact:AUS
GRC,1961,pact:AUS
ISL,1961,pact:AUS
ITA,1961,pact:AUS
JPN,1961,pact:AUS
KOR,1961,pact:AUS
LUX,1961,pact:AUS
MYS,1961,pact:AUS
NLD,1961,pact:AUS
